Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 11/23  06:00:00,0.988775076852,9.59795718849,0.0,8.92378402866,0.0,0.301699913225,0.301699913225,0.301699913225,0.114265468846,0.026037950125,0.107956661861,0.415415082795
 11/23  07:00:00,1.2521317163,11.1671819056,0.0,9.91549714387,0.0,0.335227545248,0.335227545248,0.335227545248,0.197367690954,0.044974641125,0.171190561876,0.479971277101
 11/23  08:00:00,1.63100030754,11.0436060501,0.0,9.63122435496,0.0,0.325651608257,0.325651608257,0.325651608257,0.384347484084,0.087582195875,0.262513576959,0.510005442367
 11/23  09:00:00,1.45627197552,7.52437649132,0.0,6.15694810784,0.0,0.208115088861,0.208115088861,0.208115088861,0.373959717799,0.0852151095,0.334401916637,0.431180142723
 11/23  10:00:00,1.23204402155,6.57613942804,0.0,5.33762959596,0.0,0.180343417561,0.180343417561,0.180343417561,0.207755457239,0.0473417275,0.406234250548,0.366969168707
 11/23  11:00:00,1.1880548529,5.51152498792,0.0,4.42105753382,0.0,0.149326632561,0.149326632561,0.149326632561,0.176592026845,0.040240468375,0.422896049148,0.375599675967
 11/23  12:00:00,1.15548174677,3.85459640935,0.0,2.89704332105,0.0,0.0978218841285,0.0978218841285,0.0978218841285,0.176592026845,0.040240468375,0.441712618022,0.375714749397
 11/23  13:00:00,1.10484371994,2.73163311885,0.0,1.87820764243,0.0,0.0634031633806,0.0634031633806,0.0634031633806,0.176592026845,0.040240468375,0.431822350603,0.36938571074
 11/23  14:00:00,1.05451072788,1.97053860334,0.0,1.17807187136,0.0,0.0397608995157,0.0397608995157,0.0397608995157,0.176592026845,0.040240468375,0.392358471658,0.382158861485
 11/23  15:00:00,1.0518363045,1.31704092399,0.0,0.584475509643,0.0,0.0197249563501,0.0197249563501,0.0197249563501,0.197367690954,0.044974641125,0.362691423146,0.403677592921
 11/23  16:00:00,1.20454097034,1.80742539887,0.0,1.06580589222,0.0,0.0359666387268,0.0359666387268,0.0359666387268,0.280469821234,0.063911332125,0.374676266453,0.426116911797
 11/23  17:00:00,1.67517354946,3.43301752121,0.0,2.6130591833,0.0,0.0881993622074,0.0881993622074,0.0881993622074,0.509000679504,0.115987232375,0.434564651377,0.504021624
 11/23  18:00:00,2.42508771067,5.05236989997,0.0,4.06850970784,0.0,0.13738098304,0.13738098304,0.13738098304,0.90373593237,0.205936484082,0.542328589423,0.612305721759
 11/23  19:00:00,2.86463019894,5.26184159043,0.0,4.12974297299,0.0,0.139487733094,0.139487733094,0.139487733094,1.23614458753,0.281683278625,0.489135393799,0.664779205901
 11/23  20:00:00,2.82418681264,7.19670368927,0.0,6.04086671795,0.0,0.204093546538,0.204093546538,0.204093546538,1.23614458753,0.281683278625,0.392682536045,0.686182863907
 11/23  21:00:00,2.74147326749,8.73180856303,0.0,7.66151685429,0.0,0.258927200523,0.258927200523,0.258927200523,1.14265468846,0.26037950125,0.346338960163,0.709772917085
 11/23  22:00:00,2.53827558136,10.1289101997,0.0,9.16554581221,0.0,0.309848292864,0.309848292864,0.309848292864,0.966062661619,0.220139032875,0.325623250854,0.693202343145
 11/23  23:00:00,2.07912276878,10.0234017739,0.0,9.23513196718,0.0,0.312230448414,0.312230448414,0.312230448414,0.71675613924,0.163328959875,0.263529429942,0.599877791304
 11/23  24:00:00,1.66562302628,10.3086222134,0.0,9.70823025995,0.0,0.328228826343,0.328228826343,0.328228826343,0.498612913219,0.113620146,0.180478502199,0.521282638521
 11/24  01:00:00,1.24046575988,10.6067862141,0.0,10.205220063,0.0,0.345041263282,0.345041263282,0.345041263282,0.259694288664,0.059177159375,0.121972905831,0.431180142723
 11/24  02:00:00,1.08272827763,11.135964589,0.0,10.8245197602,0.0,0.365976448933,0.365976448933,0.365976448933,0.155816494275,0.035506295625,0.105025704823,0.397003333973
 11/24  03:00:00,1.03482245453,12.1594621525,0.0,11.8725728888,0.0,0.401447850775,0.401447850775,0.401447850775,0.103877702561,0.0236708606957,0.0900256437303,0.392400396767
 11/24  04:00:00,1.05362070487,13.1459126966,0.0,12.8527830905,0.0,0.434664457928,0.434664457928,0.434664457928,0.103877702561,0.0236708606957,0.0811308115684,0.386876872121
 11/24  05:00:00,1.05268482337,13.266022349,0.0,12.9034590514,0.0,0.436418361329,0.436418361329,0.436418361329,0.103877702561,0.0236708606957,0.0930553522885,0.372262546493
 11/24  06:00:00,1.11540710814,13.3375084496,0.0,12.6639904598,0.0,0.42833194451,0.42833194451,0.42833194451,0.114265468846,0.026037950125,0.107956661861,0.415415082795
 11/24  07:00:00,1.38066209355,14.9642819253,0.0,13.7114099806,0.0,0.463757922492,0.463757922492,0.463757922492,0.197367690954,0.044974641125,0.171190561876,0.479971277101
 11/24  08:00:00,1.76830660654,15.0995443295,0.0,13.6854837638,0.0,0.462957907252,0.462957907252,0.462957907252,0.384347484084,0.087582195875,0.262513576959,0.510005442367
 11/24  09:00:00,1.67661748452,14.0314250422,0.0,12.663621254,0.0,0.428460597857,0.428460597857,0.428460597857,0.373959717799,0.0852151095,0.334401916637,0.431180142723
 11/24  10:00:00,1.45807216121,13.2500521614,0.0,12.0120077598,0.0,0.406371557214,0.406371557214,0.406371557214,0.207755457239,0.0473417275,0.406234250548,0.366969168707
 11/24  11:00:00,1.45266186404,13.3250323576,0.0,12.2359739599,0.0,0.413933643707,0.413933643707,0.413933643707,0.176592026845,0.040240468375,0.422896049148,0.375599675967
 11/24  12:00:00,1.44226941231,12.3244487573,0.0,11.3692304546,0.0,0.384609549672,0.384609549672,0.384609549672,0.176592026845,0.040240468375,0.441712618022,0.375714749397
 11/24  13:00:00,1.41704959538,11.9541175819,0.0,11.1037164365,0.0,0.375609038813,0.375609038813,0.375609038813,0.176592026845,0.040240468375,0.431822350603,0.36938571074
 11/24  14:00:00,1.38792753591,11.8212979184,0.0,11.0322393323,0.0,0.373177707545,0.373177707545,0.373177707545,0.176592026845,0.040240468375,0.392358471658,0.382158861485
 11/24  15:00:00,1.41009170722,11.9028659856,0.0,11.1740934774,0.0,0.377980359074,0.377980359074,0.377980359074,0.197367690954,0.044974641125,0.362691423146,0.403677592921
 11/24  16:00:00,1.54053340921,11.7333579658,0.0,10.9953602301,0.0,0.371959077597,0.371959077597,0.371959077597,0.280469821234,0.063911332125,0.374676266453,0.426116911797
 11/24  17:00:00,1.96278864027,11.9255627843,0.0,11.1080665885,0.0,0.375814453011,0.375814453011,0.375814453011,0.509000679504,0.115987232375,0.434564651377,0.504021624
